City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,malvan,16.0667,73.4667,27.32,78,97,2.59,IN,1715303000
83,buka,40.8108,69.1986,16.46,87,100,3.01,UZ,1715303000
84,atafu village,-8.5421,-172.5159,29.29,71,91,1.52,TK,1715303000
85,newman,37.3138,-121.0208,29.6,31,1,2.68,US,1715303000
86,tura,25.5198,90.2201,22.99,77,100,1.25,IN,1715303001
87,happy valley-goose bay,53.3168,-60.3315,3.17,81,75,1.03,CA,1715303001
88,chebba,35.2372,11.115,16.79,75,10,8.19,TN,1715303001
89,papatowai,-46.5619,169.4708,7.96,83,100,5.95,NZ,1715303001
90,arraial do cabo,-22.9661,-42.0278,22.98,88,0,0.51,BR,1715302904
91,dunedin,-45.8742,170.5036,9.33,80,85,2.68,NZ,1715303002
92,bomdila,27.25,92.4,7.33,79,100,1.26,IN,1715303002
93,taltal,-25.4,-70.4833,16.08,79,100,0.23,CL,1715302838
94,luanda,-8.8368,13.2343,28.0,93,40,2.06,AO,1715302776
95,san pedro pochutla,15.7333,-96.4667,27.84,63,100,2.21,MX,1715303002
96,mayahi,13.9553,7.6712,31.56,30,12,3.73,NE,1715303003
97,thabazimbi,-24.5917,27.4116,13.85,42,0,1.04,ZA,1715303003
98,bom jardim,-7.7958,-35.5872,21.95,81,74,1.88,BR,1715303003
99,geraldton,-28.7667,114.6,22.23,53,40,5.66,AU,1715302865
100,carnarvon,-24.8667,113.6333,24.07,60,100,3.71,AU,1715303004
101,baie-saint-paul,47.4411,-70.4986,8.99,75,42,0.91,CA,1715303004
102,puerto deseado,-47.7503,-65.8938,5.43,93,100,7.27,AR,1715303004
103,champoton,19.35,-90.7167,33.47,48,99,3.52,MX,1715302725
104,nuku'alofa,-21.1333,-175.2,27.19,54,20,3.6,TO,1715303004
105,usogorsk,63.4106,48.6872,-2.41,96,92,1.19,RU,1715303005
106,inarajan village,13.2736,144.7484,31.54,85,12,6.44,GU,1715303005
107,lone grove,34.1754,-97.2628,21.66,56,75,2.57,US,1715303005
108,al hamul,31.3115,31.1477,19.36,71,100,4.2,EG,1715303005
109,dudinka,69.4058,86.1778,-10.18,93,42,2.68,RU,1715303005
110,karema,-6.8205,30.4389,20.96,84,94,2.33,TZ,1715303006
111,susuman,62.7833,148.1667,2.77,68,100,1.79,RU,1715303006
112,glace bay,46.1969,-59.957,3.77,97,100,5.14,CA,1715303006
113,mahina,-17.5065,-149.489,29.87,66,20,3.6,PF,1715303006
114,avarua,-21.2078,-159.775,28.03,83,100,5.14,CK,1715303006
115,iskateley,67.6803,53.1512,-1.66,95,100,11.62,RU,1715303007
116,komsomol'skiy,43.9783,46.6985,13.36,56,100,3.87,RU,1715303007
117,thompson,55.7435,-97.8558,9.09,87,75,1.54,CA,1715303007
118,layyah,30.9613,70.939,31.59,24,41,3.87,PK,1715303007
119,mammoth lakes,37.6485,-118.9721,13.4,26,0,1.79,US,1715302808
120,chernyshevskiy,63.0128,112.4714,-2.54,65,15,2.93,RU,1715303008
121,sao paulo de olivenca,-3.3783,-68.8725,24.03,96,99,0.86,BR,1715303008
122,punta arenas,-53.15,-70.9167,0.06,93,20,3.09,CL,1715303008
123,brookings,44.3114,-96.7984,18.19,51,0,2.06,US,1715303008
124,constantia,44.1833,28.65,10.39,80,38,5.8,RO,1715303008
125,midvagur,62.0511,-7.1939,7.46,100,100,7.72,FO,1715303008
126,huntsville,34.7304,-86.5861,24.63,78,0,2.68,US,1715303009
127,crucecita,-28.95,-58.9833,13.47,68,100,2.55,AR,1715303009
128,polyarnyy,69.1989,33.4478,-1.71,86,100,4.7,RU,1715303009
129,hamilton,39.1834,-84.5333,17.35,93,75,4.12,US,1715302806
130,santa cruz,-17.8,-63.1667,17.7,94,20,1.03,BO,1715302741
131,whitehorse,60.7161,-135.0538,12.43,44,75,10.8,CA,1715303009
132,sinabang,2.4803,96.3801,27.74,84,100,1.64,ID,1715303010
133,lorengau,-2.0226,147.2712,28.0,78,100,2.69,PG,1715303010
134,uturoa,-16.7333,-151.4333,27.95,70,14,4.26,PF,1715303010
135,awjilah,29.1081,21.2869,17.42,73,62,5.23,LY,1715303010
136,rio grande,-32.035,-52.0986,12.06,66,100,1.53,BR,1715303010
137,luderitz,-26.6481,15.1594,13.39,85,0,7.34,NA,1715303011
138,isafjordur,66.0755,-23.124,2.46,78,100,0.5,IS,1715303011
139,port lincoln,-34.7333,135.8667,15.9,70,0,4.09,AU,1715303011
140,mbeni,-11.5014,43.3775,24.2,71,0,6.1,KM,1715303011
141,talnakh,69.4865,88.3972,-10.44,81,6,1.7,RU,1715303012
142,severobaykal'sk,55.65,109.3167,2.5,76,100,1.48,RU,1715303012
143,labuan,5.2767,115.2417,29.2,79,20,1.03,MY,1715303012
144,acapulco de juarez,16.8634,-99.8901,23.94,71,100,3.26,MX,1715302824
145,northam,51.0333,-4.2167,12.44,91,100,2.87,GB,1715303012
146,guajara mirim,-10.7828,-65.3394,25.0,86,45,0.75,BR,1715303012
147,tefe,-3.3542,-64.7114,27.7,78,100,0.98,BR,1715303013
148,colonia,50.9333,6.95,11.77,86,0,2.06,DE,1715303013
149,wailua homesteads,22.0669,-159.378,26.24,75,20,3.6,US,1715303013
150,namibe,-15.1961,12.1522,22.6,71,4,4.17,AO,1715303013
151,haveli lakha,30.4502,73.6989,31.14,34,3,5.13,PK,1715303013
152,jiazi,22.8779,116.067,23.6,71,35,6.97,CN,1715303014
153,margaret river,-33.95,115.0667,19.52,84,93,8.13,AU,1715303014
154,salinas,36.6777,-121.6555,25.31,56,0,7.2,US,1715302959
155,mitu,1.1983,-70.1733,23.7,98,100,1.03,CO,1715303014
156,chernyshevsk,52.5243,117.0174,13.46,47,86,3.64,RU,1715303014
157,freeport,40.6576,-73.5832,18.2,70,100,3.09,US,1715303015
158,saipan,15.1355,145.701,33.39,62,40,7.2,MP,1715303015
159,dolgorukovo,52.3195,38.3453,-0.18,67,1,3.32,RU,1715303015
160,porto empedocle,37.2934,13.5264,14.54,83,15,2.92,IT,1715303015
161,naze,28.3667,129.4833,21.51,55,100,4.47,JP,1715303015
162,sirte,31.2089,16.5887,17.87,61,0,7.99,LY,1715303015
163,barakani,-12.1356,44.4317,27.03,72,0,6.07,KM,1715303016
164,gadzhiyevo,69.2551,33.3362,-1.44,85,100,4.9,RU,1715303016
